date,total_capacity,rooms_out_of_order,rooms_available_for_sale
2025-06-20,120,6,114
2025-06-21,120,1,119
2025-06-22,120,1,119
2025-06-23,120,3,117
2025-06-24,120,4,116
2025-06-25,120,0,120
2025-06-26,120,0,120
2025-06-27,120,1,119
2025-06-28,120,1,119
2025-06-29,120,1,119
2025-06-30,120,3,117
2025-07-01,120,2,118
2025-07-02,120,8,112
2025-07-03,120,0,120
2025-07-04,120,1,119
2025-07-05,120,0,120
2025-07-06,120,5,115
2025-07-07,120,0,120
2025-07-08,120,0,120
2025-07-09,120,1,119
2025-07-10,120,1,119
2025-07-11,120,0,120
2025-07-12,120,0,120
2025-07-13,120,6,114
2025-07-14,120,1,119
2025-07-15,120,5,115
2025-07-16,120,1,119
2025-07-17,120,0,120
2025-07-18,120,8,112
2025-07-19,120,4,116
2025-07-20,120,7,113
2025-07-21,120,6,114
2025-07-22,120,4,116
2025-07-23,120,0,120
2025-07-24,120,1,119
2025-07-25,120,0,120
2025-07-26,120,1,119
2025-07-27,120,0,120
2025-07-28,120,0,120
2025-07-29,120,8,112
2025-07-30,120,0,120
2025-07-31,120,3,117
2025-08-01,120,1,119
2025-08-02,120,1,119
2025-08-03,120,7,113
2025-08-04,120,8,112
2025-08-05,120,1,119
2025-08-06,120,2,118
2025-08-07,120,0,120
2025-08-08,120,0,120
2025-08-09,120,7,113
2025-08-10,120,1,119
2025-08-11,120,1,119
2025-08-12,120,3,117
2025-08-13,120,0,120
2025-08-14,120,1,119
2025-08-15,120,1,119
2025-08-16,120,4,116
2025-08-17,120,0,120
2025-08-18,120,7,113
2025-08-19,120,0,120
2025-08-20,120,0,120
2025-08-21,120,1,119
2025-08-22,120,2,118
2025-08-23,120,0,120
2025-08-24,120,0,120
2025-08-25,120,5,115
2025-08-26,120,0,120
2025-08-27,120,1,119
2025-08-28,120,2,118
2025-08-29,120,1,119
2025-08-30,120,1,119
2025-08-31,120,1,119
2025-09-01,120,6,114
2025-09-02,120,0,120
2025-09-03,120,2,118
2025-09-04,120,0,120
2025-09-05,120,0,120
2025-09-06,120,2,118
2025-09-07,120,0,120
2025-09-08,120,0,120
2025-09-09,120,3,117
2025-09-10,120,0,120
2025-09-11,120,1,119
2025-09-12,120,8,112
2025-09-13,120,8,112
2025-09-14,120,0,120
2025-09-15,120,0,120
2025-09-16,120,0,120
2025-09-17,120,6,114
2025-09-18,120,5,115
2025-09-19,120,5,115
2025-09-20,120,0,120
2025-09-21,120,0,120
2025-09-22,120,4,116
2025-09-23,120,2,118
2025-09-24,120,2,118
2025-09-25,120,8,112
2025-09-26,120,2,118
2025-09-27,120,0,120
2025-09-28,120,4,116
2025-09-29,120,0,120
2025-09-30,120,2,118
2025-10-01,120,6,114
2025-10-02,120,0,120
2025-10-03,120,0,120
2025-10-04,120,0,120
2025-10-05,120,1,119
2025-10-06,120,0,120
2025-10-07,120,2,118
2025-10-08,120,2,118
2025-10-09,120,0,120
2025-10-10,120,2,118
2025-10-11,120,0,120
2025-10-12,120,1,119
2025-10-13,120,5,115
2025-10-14,120,4,116
2025-10-15,120,0,120
2025-10-16,120,1,119
2025-10-17,120,0,120
2025-10-18,120,0,120
2025-10-19,120,3,117
2025-10-20,120,2,118
2025-10-21,120,0,120
2025-10-22,120,3,117
2025-10-23,120,1,119
2025-10-24,120,1,119
2025-10-25,120,0,120
2025-10-26,120,0,120
2025-10-27,120,5,115
2025-10-28,120,5,115
2025-10-29,120,1,119
2025-10-30,120,4,116
2025-10-31,120,1,119
2025-11-01,120,0,120
2025-11-02,120,0,120
2025-11-03,120,0,120
2025-11-04,120,5,115
2025-11-05,120,3,117
2025-11-06,120,5,115
2025-11-07,120,5,115
2025-11-08,120,0,120
2025-11-09,120,0,120
2025-11-10,120,0,120
2025-11-11,120,3,117
2025-11-12,120,5,115
2025-11-13,120,1,119
2025-11-14,120,2,118
2025-11-15,120,0,120
2025-11-16,120,6,114
2025-11-17,120,5,115
2025-11-18,120,7,113
2025-11-19,120,4,116
2025-11-20,120,5,115
2025-11-21,120,0,120
2025-11-22,120,3,117
2025-11-23,120,0,120
2025-11-24,120,6,114
2025-11-25,120,4,116
2025-11-26,120,5,115
2025-11-27,120,4,116
2025-11-28,120,0,120
2025-11-29,120,3,117
2025-11-30,120,0,120
2025-12-01,120,5,115
2025-12-02,120,4,116
2025-12-03,120,0,120
2025-12-04,120,4,116
2025-12-05,120,1,119
2025-12-06,120,0,120
2025-12-07,120,3,117
2025-12-08,120,0,120
2025-12-09,120,0,120
2025-12-10,120,0,120
2025-12-11,120,0,120
2025-12-12,120,5,115
2025-12-13,120,7,113
2025-12-14,120,0,120
2025-12-15,120,2,118
2025-12-16,120,0,120
2025-12-17,120,8,112
2025-12-18,120,1,119
2025-12-19,120,6,114
2025-12-20,120,0,120
2025-12-21,120,7,113
2025-12-22,120,0,120
2025-12-23,120,7,113
2025-12-24,120,0,120
2025-12-25,120,0,120
2025-12-26,120,1,119
2025-12-27,120,3,117
2025-12-28,120,0,120
2025-12-29,120,2,118
2025-12-30,120,1,119
2025-12-31,120,0,120
