spend_id,spend_date,channel_id,platform,cost_amount,clicks
MK_00146,2025-04-01,CH_01,Instagram Ads,847.71,932
MK_00147,2025-04-02,CH_03,Facebook Ads,804.72,939
MK_00148,2025-04-03,CH_01,Instagram Ads,889.28,373
MK_00149,2025-04-03,CH_01,Meta Search,485.83,431
MK_00150,2025-04-03,CH_01,Facebook Ads,440.14,692
MK_00151,2025-04-04,CH_02,Meta Search,726.85,634
MK_00152,2025-04-05,CH_01,Facebook Ads,613.5,555
MK_00153,2025-04-05,CH_01,Meta Search,305.79,422
MK_00154,2025-04-05,CH_01,Facebook Ads,319.59,401
MK_00155,2025-04-06,CH_01,Meta Search,898.85,234
MK_00156,2025-04-06,CH_01,Facebook Ads,778.19,628
MK_00157,2025-04-07,CH_01,Meta Search,270.38,120
MK_00158,2025-04-07,CH_01,Facebook Ads,905.69,516
MK_00159,2025-04-07,CH_02,Instagram Ads,687.17,713
MK_00160,2025-04-08,CH_02,Meta Search,914.62,739
MK_00161,2025-04-09,CH_01,Google Ads,879.84,442
MK_00162,2025-04-09,CH_01,Facebook Ads,663.46,445
MK_00163,2025-04-10,CH_01,Facebook Ads,643.74,218
MK_00164,2025-04-11,CH_01,Google Ads,933.98,623
MK_00165,2025-04-11,CH_01,Google Ads,471.78,745
MK_00166,2025-04-12,CH_01,Facebook Ads,644.0,625
MK_00167,2025-04-12,CH_01,Meta Search,658.14,562
MK_00168,2025-04-12,CH_01,Facebook Ads,617.82,575
MK_00169,2025-04-13,CH_01,Instagram Ads,655.48,275
MK_00170,2025-04-13,CH_01,Meta Search,544.73,165
MK_00171,2025-04-13,CH_01,Facebook Ads,281.45,590
MK_00172,2025-04-14,CH_02,Instagram Ads,793.58,740
MK_00173,2025-04-15,CH_02,Instagram Ads,788.73,102
MK_00174,2025-04-15,CH_03,Meta Search,245.79,988
MK_00175,2025-04-16,CH_01,Facebook Ads,925.43,754
MK_00176,2025-04-16,CH_01,Google Ads,209.42,547
MK_00177,2025-04-16,CH_01,Meta Search,418.85,744
MK_00178,2025-04-17,CH_01,Google Ads,486.44,145
MK_00179,2025-04-17,CH_03,Facebook Ads,887.25,833
MK_00180,2025-04-18,CH_01,Meta Search,365.08,651
MK_00181,2025-04-18,CH_02,Meta Search,461.58,670
MK_00182,2025-04-19,CH_01,Google Ads,480.13,936
MK_00183,2025-04-19,CH_01,Google Ads,478.39,327
MK_00184,2025-04-20,CH_01,Facebook Ads,321.38,827
MK_00185,2025-04-22,CH_01,Meta Search,993.96,819
MK_00186,2025-04-22,CH_01,Instagram Ads,714.46,864
MK_00187,2025-04-22,CH_01,Facebook Ads,964.37,750
MK_00188,2025-04-23,CH_01,Facebook Ads,807.24,756
MK_00189,2025-04-24,CH_02,Facebook Ads,601.21,436
MK_00190,2025-04-24,CH_01,Google Ads,612.6,880
MK_00191,2025-04-25,CH_01,Facebook Ads,771.8,883
MK_00192,2025-04-25,CH_01,Instagram Ads,946.63,551
MK_00193,2025-04-25,CH_01,Google Ads,265.47,186
MK_00194,2025-04-26,CH_01,Facebook Ads,699.96,824
MK_00195,2025-04-26,CH_03,Google Ads,876.27,532
MK_00196,2025-04-27,CH_01,Facebook Ads,483.88,609
MK_00197,2025-04-27,CH_01,Instagram Ads,515.74,155
MK_00198,2025-04-28,CH_01,Google Ads,210.07,873
MK_00199,2025-04-28,CH_03,Instagram Ads,231.73,762
MK_00200,2025-04-28,CH_02,Instagram Ads,984.98,691
MK_00201,2025-04-29,CH_02,Instagram Ads,782.77,829
MK_00202,2025-04-29,CH_02,Google Ads,292.47,562
MK_00203,2025-04-30,CH_03,Instagram Ads,215.96,423
MK_00204,2025-05-01,CH_01,Facebook Ads,128.49,134
MK_00205,2025-05-02,CH_01,Google Ads,97.58,208
MK_00206,2025-05-02,CH_01,Facebook Ads,267.68,232
MK_00207,2025-05-03,CH_01,Google Ads,190.16,123
MK_00208,2025-05-03,CH_01,Meta Search,137.76,300
MK_00209,2025-05-04,CH_01,Google Ads,148.16,227
MK_00210,2025-05-04,CH_01,Instagram Ads,99.15,236
MK_00211,2025-05-05,CH_01,Instagram Ads,60.07,264
MK_00212,2025-05-06,CH_01,Facebook Ads,265.79,103
MK_00213,2025-05-06,CH_02,Google Ads,187.45,281
MK_00214,2025-05-08,CH_02,Instagram Ads,129.43,290
MK_00215,2025-05-09,CH_01,Google Ads,70.54,213
MK_00216,2025-05-10,CH_01,Instagram Ads,225.25,272
MK_00217,2025-05-11,CH_01,Google Ads,195.01,55
MK_00218,2025-05-12,CH_01,Google Ads,218.51,245
MK_00219,2025-05-14,CH_01,Google Ads,88.44,40
MK_00220,2025-05-14,CH_02,Facebook Ads,121.13,111
MK_00221,2025-05-14,CH_01,Meta Search,70.67,136
MK_00222,2025-05-15,CH_01,Meta Search,93.45,80
MK_00223,2025-05-15,CH_02,Facebook Ads,89.85,151
MK_00224,2025-05-16,CH_02,Meta Search,178.11,91
MK_00225,2025-05-16,CH_01,Facebook Ads,291.66,130
MK_00226,2025-05-16,CH_01,Instagram Ads,246.08,69
MK_00227,2025-05-19,CH_01,Instagram Ads,196.91,69
MK_00228,2025-05-19,CH_01,Facebook Ads,262.29,153
MK_00229,2025-05-19,CH_01,Instagram Ads,95.78,76
MK_00230,2025-05-21,CH_01,Google Ads,67.7,292
MK_00231,2025-05-22,CH_01,Facebook Ads,63.46,202
MK_00232,2025-05-23,CH_01,Facebook Ads,113.11,55
MK_00233,2025-05-24,CH_01,Google Ads,227.01,127
MK_00234,2025-05-25,CH_01,Instagram Ads,139.77,159
MK_00235,2025-05-26,CH_02,Instagram Ads,240.71,205
MK_00236,2025-05-26,CH_01,Instagram Ads,189.18,175
MK_00237,2025-05-26,CH_01,Facebook Ads,150.18,220
MK_00238,2025-05-27,CH_01,Facebook Ads,72.77,147
MK_00239,2025-05-28,CH_01,Google Ads,213.83,97
MK_00240,2025-05-28,CH_03,Instagram Ads,118.52,132
MK_00241,2025-05-28,CH_01,Meta Search,238.94,132
MK_00242,2025-05-29,CH_03,Google Ads,181.35,45
MK_00243,2025-05-29,CH_03,Meta Search,82.37,137
MK_00244,2025-05-30,CH_01,Meta Search,298.32,144
MK_00245,2025-05-31,CH_01,Google Ads,161.41,24
MK_00246,2025-05-31,CH_01,Instagram Ads,161.41,183
MK_00247,2025-05-31,CH_02,Google Ads,55.84,298
MK_00248,2025-06-01,CH_01,Meta Search,116.07,56
MK_00249,2025-06-01,CH_02,Meta Search,60.39,258
MK_00250,2025-06-02,CH_01,Google Ads,298.46,297
MK_00251,2025-06-03,CH_01,Meta Search,151.4,100
MK_00252,2025-06-03,CH_01,Google Ads,196.83,256
MK_00253,2025-06-04,CH_01,Instagram Ads,97.9,67
MK_00254,2025-06-05,CH_01,Instagram Ads,65.55,240
MK_00255,2025-06-05,CH_01,Google Ads,200.87,30
MK_00256,2025-06-05,CH_01,Google Ads,88.64,53
MK_00257,2025-06-06,CH_01,Instagram Ads,246.39,228
MK_00258,2025-06-06,CH_01,Facebook Ads,126.0,290
MK_00259,2025-06-07,CH_01,Facebook Ads,100.12,129
MK_00260,2025-06-07,CH_01,Google Ads,146.25,132
MK_00261,2025-06-08,CH_02,Facebook Ads,190.94,216
MK_00262,2025-06-09,CH_01,Facebook Ads,142.19,166
MK_00263,2025-06-09,CH_02,Google Ads,141.9,170
MK_00264,2025-06-10,CH_02,Instagram Ads,254.21,56
MK_00265,2025-06-11,CH_01,Google Ads,78.7,30
MK_00266,2025-06-11,CH_01,Facebook Ads,74.49,54
MK_00267,2025-06-12,CH_01,Meta Search,53.88,80
MK_00268,2025-06-13,CH_02,Instagram Ads,112.8,288
MK_00269,2025-06-13,CH_01,Instagram Ads,83.07,128
MK_00270,2025-06-14,CH_02,Google Ads,168.58,228
MK_00271,2025-06-14,CH_01,Google Ads,192.01,131
MK_00272,2025-06-16,CH_01,Google Ads,277.43,170
MK_00273,2025-06-17,CH_01,Google Ads,216.75,230
MK_00274,2025-06-17,CH_01,Instagram Ads,176.09,230
MK_00275,2025-06-18,CH_01,Google Ads,174.53,219
MK_00276,2025-06-19,CH_01,Google Ads,117.63,70
MK_00277,2025-06-20,CH_01,Facebook Ads,104.45,50
MK_00278,2025-06-20,CH_01,Meta Search,112.03,69
MK_00279,2025-06-21,CH_01,Meta Search,98.47,58
MK_00280,2025-06-22,CH_01,Instagram Ads,115.49,292
MK_00281,2025-06-23,CH_03,Facebook Ads,142.91,270
MK_00282,2025-06-23,CH_01,Instagram Ads,181.64,122
MK_00283,2025-06-24,CH_01,Google Ads,174.38,211
MK_00284,2025-06-25,CH_02,Meta Search,122.99,257
MK_00285,2025-06-25,CH_01,Instagram Ads,158.1,175
MK_00286,2025-06-26,CH_03,Google Ads,78.78,161
MK_00287,2025-06-26,CH_03,Google Ads,99.9,269
MK_00288,2025-06-28,CH_01,Facebook Ads,295.77,91
MK_00289,2025-06-28,CH_01,Meta Search,256.47,54
MK_00290,2025-06-29,CH_01,Meta Search,71.82,256
MK_00291,2025-06-30,CH_02,Facebook Ads,137.49,75
MK_00292,2025-07-01,CH_01,Facebook Ads,351.0,101
MK_00293,2025-07-01,CH_03,Meta Search,420.42,399
MK_00294,2025-07-01,CH_01,Instagram Ads,454.12,339
MK_00295,2025-07-02,CH_01,Meta Search,359.06,208
MK_00296,2025-07-02,CH_01,Instagram Ads,362.19,493
MK_00297,2025-07-03,CH_01,Facebook Ads,279.96,100
MK_00298,2025-07-03,CH_03,Facebook Ads,397.16,365
MK_00299,2025-07-03,CH_02,Meta Search,417.89,500
MK_00300,2025-07-04,CH_01,Google Ads,256.14,340
MK_00301,2025-07-04,CH_01,Meta Search,195.98,373
MK_00302,2025-07-05,CH_01,Instagram Ads,209.17,365
MK_00303,2025-07-06,CH_02,Meta Search,473.1,369
MK_00304,2025-07-06,CH_01,Meta Search,358.46,98
MK_00305,2025-07-06,CH_03,Instagram Ads,276.44,73
MK_00306,2025-07-07,CH_02,Google Ads,107.05,427
MK_00307,2025-07-08,CH_01,Google Ads,108.73,203
MK_00308,2025-07-08,CH_01,Google Ads,476.06,57
MK_00309,2025-07-08,CH_01,Facebook Ads,391.28,236
MK_00310,2025-07-09,CH_03,Facebook Ads,224.99,254
MK_00311,2025-07-09,CH_01,Instagram Ads,278.98,141
MK_00312,2025-07-10,CH_01,Facebook Ads,365.97,246
MK_00313,2025-07-10,CH_01,Instagram Ads,270.12,407
MK_00314,2025-07-11,CH_02,Google Ads,211.43,393
MK_00315,2025-07-11,CH_02,Meta Search,305.07,423
MK_00316,2025-07-12,CH_01,Instagram Ads,234.8,315
MK_00317,2025-07-13,CH_02,Facebook Ads,227.74,74
MK_00318,2025-07-14,CH_02,Facebook Ads,445.16,370
MK_00319,2025-07-14,CH_02,Meta Search,307.22,388
MK_00320,2025-07-14,CH_01,Facebook Ads,166.12,288
MK_00321,2025-07-15,CH_01,Meta Search,332.8,278
MK_00322,2025-07-15,CH_01,Meta Search,160.25,260
MK_00323,2025-07-15,CH_01,Facebook Ads,422.92,409
MK_00324,2025-07-16,CH_01,Meta Search,198.15,484
MK_00325,2025-07-17,CH_01,Google Ads,245.3,157
MK_00326,2025-07-17,CH_01,Instagram Ads,310.55,340
MK_00327,2025-07-18,CH_01,Facebook Ads,222.04,50
MK_00328,2025-07-19,CH_03,Meta Search,118.1,391
MK_00329,2025-07-20,CH_01,Google Ads,236.83,74
MK_00330,2025-07-21,CH_01,Google Ads,411.0,188
MK_00331,2025-07-22,CH_01,Facebook Ads,480.56,318
MK_00332,2025-07-22,CH_01,Meta Search,178.97,327
MK_00333,2025-07-23,CH_03,Google Ads,212.58,198
MK_00334,2025-07-24,CH_01,Google Ads,497.4,106
MK_00335,2025-07-25,CH_01,Facebook Ads,315.85,151
MK_00336,2025-07-26,CH_01,Instagram Ads,296.97,430
MK_00337,2025-07-26,CH_01,Instagram Ads,459.14,239
MK_00338,2025-07-27,CH_01,Meta Search,453.6,137
MK_00339,2025-07-27,CH_01,Meta Search,172.87,183
MK_00340,2025-07-28,CH_01,Instagram Ads,488.56,156
MK_00341,2025-07-28,CH_01,Instagram Ads,140.71,192
MK_00342,2025-07-28,CH_01,Meta Search,309.51,287
MK_00343,2025-07-29,CH_03,Instagram Ads,473.57,174
MK_00344,2025-07-29,CH_01,Instagram Ads,207.15,150
MK_00345,2025-07-30,CH_01,Google Ads,343.98,176
MK_00346,2025-07-31,CH_03,Meta Search,273.01,381
MK_00347,2025-08-01,CH_01,Facebook Ads,225.02,270
MK_00348,2025-08-02,CH_03,Meta Search,314.88,181
MK_00349,2025-08-02,CH_01,Meta Search,231.45,230
MK_00350,2025-08-02,CH_01,Google Ads,303.52,269
MK_00351,2025-08-04,CH_01,Meta Search,361.64,217
MK_00352,2025-08-05,CH_03,Instagram Ads,258.04,90
MK_00353,2025-08-05,CH_01,Meta Search,228.3,166
MK_00354,2025-08-06,CH_02,Instagram Ads,132.85,269
MK_00355,2025-08-06,CH_01,Meta Search,468.82,274
MK_00356,2025-08-07,CH_02,Facebook Ads,166.98,220
MK_00357,2025-08-08,CH_01,Facebook Ads,184.09,104
MK_00358,2025-08-09,CH_01,Facebook Ads,148.29,452
MK_00359,2025-08-09,CH_02,Facebook Ads,197.87,436
MK_00360,2025-08-10,CH_01,Instagram Ads,463.98,267
MK_00361,2025-08-10,CH_02,Instagram Ads,157.63,156
MK_00362,2025-08-10,CH_03,Facebook Ads,127.12,190
MK_00363,2025-08-11,CH_02,Meta Search,216.84,368
MK_00364,2025-08-12,CH_02,Google Ads,267.78,199
MK_00365,2025-08-12,CH_01,Instagram Ads,430.73,475
MK_00366,2025-08-13,CH_01,Facebook Ads,380.87,110
MK_00367,2025-08-14,CH_01,Meta Search,105.65,179
MK_00368,2025-08-16,CH_01,Instagram Ads,449.54,343
MK_00369,2025-08-16,CH_02,Instagram Ads,400.59,102
MK_00370,2025-08-16,CH_01,Google Ads,369.89,358
MK_00371,2025-08-17,CH_01,Google Ads,235.93,435
MK_00372,2025-08-18,CH_01,Google Ads,359.92,353
MK_00373,2025-08-19,CH_01,Google Ads,472.18,104
MK_00374,2025-08-21,CH_03,Facebook Ads,188.73,218
MK_00375,2025-08-22,CH_01,Meta Search,207.91,269
MK_00376,2025-08-22,CH_01,Meta Search,454.72,63
MK_00377,2025-08-23,CH_01,Facebook Ads,202.64,475
MK_00378,2025-08-23,CH_01,Facebook Ads,395.68,299
MK_00379,2025-08-23,CH_02,Facebook Ads,396.41,139
MK_00380,2025-08-24,CH_01,Instagram Ads,234.24,124
MK_00381,2025-08-24,CH_01,Meta Search,480.87,413
MK_00382,2025-08-25,CH_01,Meta Search,352.05,236
MK_00383,2025-08-26,CH_01,Meta Search,302.49,110
MK_00384,2025-08-26,CH_01,Facebook Ads,479.83,319
MK_00385,2025-08-26,CH_01,Meta Search,234.24,353
MK_00386,2025-08-27,CH_01,Instagram Ads,409.3,412
MK_00387,2025-08-27,CH_01,Facebook Ads,120.25,128
MK_00388,2025-08-28,CH_01,Facebook Ads,237.13,441
MK_00389,2025-08-29,CH_01,Meta Search,410.45,245
MK_00390,2025-08-30,CH_01,Google Ads,247.94,462
MK_00391,2025-08-30,CH_01,Instagram Ads,149.91,101
MK_00392,2025-08-30,CH_02,Meta Search,345.67,245
MK_00393,2025-08-31,CH_01,Google Ads,286.33,414
MK_00394,2025-08-31,CH_01,Instagram Ads,476.71,122
MK_00395,2025-08-31,CH_01,Facebook Ads,231.45,309
MK_00396,2025-09-01,CH_01,Meta Search,111.48,292
MK_00397,2025-09-02,CH_01,Instagram Ads,335.12,263
MK_00398,2025-09-02,CH_01,Google Ads,424.3,237
MK_00399,2025-09-02,CH_01,Facebook Ads,451.55,386
MK_00400,2025-09-03,CH_01,Meta Search,338.6,450
MK_00401,2025-09-04,CH_01,Google Ads,160.8,195
MK_00402,2025-09-05,CH_01,Facebook Ads,216.68,256
MK_00403,2025-09-06,CH_01,Google Ads,441.05,350
MK_00404,2025-09-07,CH_01,Meta Search,292.73,175
MK_00405,2025-09-07,CH_01,Facebook Ads,131.75,302
MK_00406,2025-09-08,CH_02,Google Ads,265.96,162
MK_00407,2025-09-08,CH_03,Facebook Ads,167.59,206
MK_00408,2025-09-09,CH_01,Facebook Ads,206.01,94
MK_00409,2025-09-09,CH_01,Facebook Ads,140.52,335
MK_00410,2025-09-09,CH_02,Meta Search,354.93,98
MK_00411,2025-09-10,CH_02,Instagram Ads,221.4,230
MK_00412,2025-09-10,CH_02,Google Ads,414.46,84
MK_00413,2025-09-11,CH_01,Instagram Ads,420.26,316
MK_00414,2025-09-12,CH_01,Google Ads,272.03,492
MK_00415,2025-09-13,CH_01,Instagram Ads,411.26,162
MK_00416,2025-09-14,CH_03,Facebook Ads,391.27,405
MK_00417,2025-09-14,CH_01,Instagram Ads,214.15,430
MK_00418,2025-09-15,CH_02,Instagram Ads,434.2,107
MK_00419,2025-09-16,CH_01,Meta Search,281.96,353
MK_00420,2025-09-16,CH_01,Meta Search,110.8,319
MK_00421,2025-09-17,CH_01,Meta Search,309.69,198
MK_00422,2025-09-18,CH_03,Facebook Ads,183.35,427
MK_00423,2025-09-18,CH_02,Meta Search,178.48,141
MK_00424,2025-09-19,CH_01,Instagram Ads,480.74,102
MK_00425,2025-09-19,CH_02,Meta Search,275.13,355
MK_00426,2025-09-20,CH_01,Meta Search,365.67,172
MK_00427,2025-09-21,CH_03,Instagram Ads,442.3,78
MK_00428,2025-09-21,CH_01,Instagram Ads,161.31,71
MK_00429,2025-09-22,CH_01,Facebook Ads,292.76,94
MK_00430,2025-09-23,CH_01,Facebook Ads,242.96,322
MK_00431,2025-09-24,CH_01,Meta Search,415.16,142
MK_00432,2025-09-25,CH_03,Instagram Ads,389.34,126
MK_00433,2025-09-25,CH_01,Google Ads,218.06,109
MK_00434,2025-09-26,CH_03,Instagram Ads,314.83,383
MK_00435,2025-09-26,CH_01,Google Ads,118.81,417
MK_00436,2025-09-27,CH_01,Google Ads,476.89,307
MK_00437,2025-09-27,CH_01,Instagram Ads,155.39,491
MK_00438,2025-09-28,CH_01,Instagram Ads,149.91,282
MK_00439,2025-09-28,CH_03,Facebook Ads,278.69,126
MK_00440,2025-09-30,CH_01,Instagram Ads,278.85,249
MK_00441,2025-09-30,CH_03,Instagram Ads,355.5,318
MK_00442,2025-10-02,CH_01,Instagram Ads,435.62,430
MK_00443,2025-10-03,CH_01,Facebook Ads,216.35,300
MK_00444,2025-10-05,CH_03,Meta Search,485.74,119
MK_00445,2025-10-06,CH_01,Google Ads,301.19,323
MK_00446,2025-10-06,CH_02,Facebook Ads,309.46,109
MK_00447,2025-10-07,CH_01,Meta Search,105.17,372
MK_00448,2025-10-08,CH_01,Google Ads,218.38,199
MK_00449,2025-10-09,CH_01,Meta Search,400.61,184
