booking_id,booking_date,check_in_date,check_out_date,channel_id,rate_code_id,gross_room_revenue,commission_amount,net_room_revenue,status
BK_00041,2024-12-31,2025-01-01,2025-01-04,CH_03,RT_03,336.24,67.25,268.99,Checked-Out
BK_00042,2024-12-31,2025-01-01,2025-01-04,CH_02,RT_02,0.0,0.0,0.0,Cancelled
BK_00043,2024-12-31,2025-01-01,2025-01-03,CH_03,RT_01,286.1,57.22,228.88,Checked-Out
BK_00044,2024-12-31,2025-01-01,2025-01-02,CH_03,RT_03,120.17,24.03,96.14,Checked-Out
BK_00045,2024-12-31,2025-01-01,2025-01-08,CH_06,RT_04,622.23,0.0,622.23,Checked-Out
BK_00046,2024-12-31,2025-01-01,2025-01-02,CH_03,RT_01,217.43,43.49,173.94,Checked-Out
BK_00047,2024-12-31,2025-01-01,2025-01-04,CH_05,RT_01,426.48,0.0,426.48,Checked-Out
BK_00048,2024-12-31,2025-01-01,2025-01-03,CH_03,RT_01,0.0,0.0,0.0,Cancelled
BK_00049,2024-12-31,2025-01-01,2025-01-02,CH_01,RT_06,132.96,0.0,132.96,Checked-Out
BK_00050,2024-12-31,2025-01-01,2025-01-02,CH_06,RT_04,108.47,0.0,108.47,Checked-Out
BK_00051,2024-12-31,2025-01-01,2025-01-02,CH_06,RT_04,98.19,0.0,98.19,Confirmed
BK_00052,2024-12-31,2025-01-01,2025-01-05,CH_03,RT_05,598.96,119.79,479.17,Checked-Out
BK_00053,2024-12-31,2025-01-01,2025-01-03,CH_04,RT_02,0.0,0.0,0.0,Cancelled
BK_00054,2024-12-31,2025-01-01,2025-01-04,CH_02,RT_01,431.97,77.75,354.22,Checked-Out
BK_00055,2024-12-31,2025-01-01,2025-01-02,CH_03,RT_02,149.13,29.83,119.3,Checked-Out
BK_00056,2024-12-31,2025-01-01,2025-01-04,CH_03,RT_03,498.15,99.63,398.52,Checked-Out
BK_00057,2024-12-31,2025-01-01,2025-01-03,CH_03,RT_02,421.68,84.34,337.34,Confirmed
BK_00058,2024-12-31,2025-01-01,2025-01-02,CH_06,RT_04,97.85,0.0,97.85,Confirmed
BK_00059,2024-12-31,2025-01-01,2025-01-03,CH_03,RT_01,320.5,64.1,256.4,Checked-Out
BK_00060,2024-12-31,2025-01-01,2025-01-03,CH_04,RT_05,386.9,65.77,321.13,Checked-Out
BK_00061,2024-12-31,2025-01-01,2025-01-02,CH_07,RT_04,109.99,0.0,109.99,Checked-Out
BK_00062,2024-12-31,2025-01-01,2025-01-04,CH_06,RT_04,255.78,0.0,255.78,Checked-Out
BK_00063,2024-12-31,2025-01-01,2025-01-06,CH_02,RT_02,917.4,165.13,752.27,Checked-Out
BK_00064,2024-12-31,2025-01-01,2025-01-03,CH_03,RT_01,260.92,52.18,208.74,Checked-Out
BK_00065,2024-12-31,2025-01-01,2025-01-04,CH_02,RT_05,604.08,108.73,495.35,Checked-Out
BK_00066,2024-12-31,2025-01-01,2025-01-02,CH_02,RT_01,197.25,35.5,161.75,Confirmed
BK_00067,2024-12-31,2025-01-01,2025-01-04,CH_03,RT_02,416.28,83.26,333.02,Checked-Out
BK_00068,2024-12-31,2025-01-01,2025-01-04,CH_05,RT_01,456.45,0.0,456.45,Checked-Out
BK_00069,2024-12-31,2025-01-01,2025-01-03,CH_04,RT_01,434.62,73.89,360.73,Checked-Out
BK_00070,2024-12-31,2025-01-01,2025-01-04,CH_02,RT_01,482.4,86.83,395.57,Checked-Out
BK_00071,2024-12-31,2025-01-01,2025-01-03,CH_01,RT_01,345.7,10.37,335.33,Checked-Out
BK_00072,2024-12-31,2025-01-01,2025-01-03,CH_03,RT_02,331.36,66.27,265.09,Checked-Out
BK_00073,2024-12-31,2025-01-01,2025-01-07,CH_03,RT_05,1238.4,247.68,990.72,Checked-Out
BK_00074,2024-12-31,2025-01-01,2025-01-03,CH_06,RT_04,176.04,0.0,176.04,Checked-Out
BK_00075,2024-12-31,2025-01-01,2025-01-05,CH_04,RT_03,688.16,116.99,571.17,Checked-Out
BK_00076,2024-12-31,2025-01-01,2025-01-04,CH_03,RT_02,456.54,91.31,365.23,Checked-Out
BK_00077,2024-12-31,2025-01-01,2025-01-04,CH_02,RT_03,294.12,52.94,241.18,Checked-Out
BK_00078,2024-12-31,2025-01-01,2025-01-03,CH_04,RT_03,360.14,61.22,298.92,Checked-Out
BK_00079,2024-12-31,2025-01-01,2025-01-06,CH_06,RT_04,466.05,0.0,466.05,Checked-Out
BK_00080,2024-12-31,2025-01-01,2025-01-02,CH_02,RT_05,217.0,39.06,177.94,Checked-Out
BK_00081,2024-12-31,2025-01-01,2025-01-03,CH_04,RT_02,410.36,69.76,340.6,Confirmed
BK_00082,2024-12-31,2025-01-01,2025-01-07,CH_04,RT_05,1012.74,172.17,840.57,Checked-Out
BK_00083,2024-12-31,2025-01-01,2025-01-02,CH_04,RT_01,142.75,24.27,118.48,Checked-Out
BK_00084,2024-12-31,2025-01-01,2025-01-05,CH_04,RT_01,546.56,92.92,453.64,Checked-Out
BK_00085,2024-12-31,2025-01-01,2025-01-02,CH_06,RT_04,88.8,0.0,88.8,Checked-Out
BK_00086,2024-12-31,2025-01-01,2025-01-02,CH_03,RT_03,120.58,24.12,96.46,Checked-Out
BK_00087,2024-12-31,2025-01-01,2025-01-04,CH_02,RT_05,402.93,72.53,330.4,Checked-Out
BK_00088,2024-12-31,2025-01-01,2025-01-03,CH_04,RT_05,333.06,56.62,276.44,Checked-Out
BK_00089,2024-12-31,2025-01-01,2025-01-02,CH_07,RT_01,183.89,22.07,161.82,Checked-Out
BK_00090,2024-12-31,2025-01-01,2025-01-03,CH_02,RT_05,410.66,73.92,336.74,Checked-Out
BK_00091,2024-12-31,2025-01-01,2025-01-04,CH_04,RT_05,0.0,0.0,0.0,Cancelled
BK_00092,2024-12-31,2025-01-01,2025-01-02,CH_04,RT_03,173.59,29.51,144.08,Checked-Out
BK_00093,2024-12-31,2025-01-01,2025-01-05,CH_07,RT_04,392.84,0.0,392.84,Checked-Out
BK_00094,2024-12-31,2025-01-01,2025-01-04,CH_04,RT_03,431.85,73.41,358.44,Checked-Out
BK_00095,2024-12-31,2025-01-01,2025-01-03,CH_03,RT_02,386.48,77.3,309.18,Checked-Out
BK_00096,2024-12-31,2025-01-01,2025-01-03,CH_03,RT_01,397.3,79.46,317.84,Confirmed
BK_00097,2024-12-31,2025-01-01,2025-01-03,CH_07,RT_04,175.42,0.0,175.42,Confirmed
BK_00098,2024-12-31,2025-01-01,2025-01-07,CH_02,RT_05,1202.52,216.45,986.07,Checked-Out
BK_00099,2024-12-31,2025-01-01,2025-01-02,CH_07,RT_01,216.73,26.01,190.72,Confirmed
BK_00100,2024-12-31,2025-01-01,2025-01-02,CH_03,RT_01,132.36,26.47,105.89,Checked-Out
BK_00101,2024-12-31,2025-01-01,2025-01-04,CH_06,RT_04,324.63,0.0,324.63,Checked-Out
BK_00102,2024-12-31,2025-01-01,2025-01-03,CH_04,RT_05,305.6,51.95,253.65,Checked-Out
BK_00103,2024-12-31,2025-01-01,2025-01-04,CH_03,RT_03,489.6,97.92,391.68,Checked-Out
BK_00104,2024-12-31,2025-01-01,2025-01-03,CH_03,RT_01,417.46,83.49,333.97,Checked-Out
BK_00105,2024-12-31,2025-01-01,2025-01-03,CH_07,RT_01,357.46,42.9,314.56,Checked-Out
BK_00106,2024-12-31,2025-01-01,2025-01-04,CH_06,RT_04,0.0,0.0,0.0,Cancelled
BK_00107,2024-12-31,2025-01-01,2025-01-02,CH_02,RT_02,215.06,38.71,176.35,Confirmed
BK_00108,2025-01-01,2025-01-02,2025-01-07,CH_04,RT_01,0.0,0.0,0.0,Cancelled
BK_00109,2025-01-01,2025-01-02,2025-01-03,CH_02,RT_02,217.11,39.08,178.03,Checked-Out
BK_00110,2025-01-01,2025-01-02,2025-01-03,CH_02,RT_02,126.86,22.83,104.03,Confirmed
BK_00111,2025-01-01,2025-01-02,2025-01-05,CH_06,RT_04,260.97,0.0,260.97,Confirmed
BK_00112,2025-01-01,2025-01-02,2025-01-03,CH_07,RT_04,96.21,0.0,96.21,Confirmed
BK_00113,2025-01-01,2025-01-02,2025-01-05,CH_01,RT_01,479.01,14.37,464.64,Confirmed
BK_00114,2025-01-01,2025-01-02,2025-01-03,CH_02,RT_01,162.1,29.18,132.92,Checked-Out
BK_00115,2025-01-01,2025-01-02,2025-01-04,CH_06,RT_04,190.8,0.0,190.8,Checked-Out
BK_00116,2025-01-01,2025-01-02,2025-01-08,CH_01,RT_02,1050.12,31.5,1018.62,Checked-Out
BK_00117,2025-01-01,2025-01-02,2025-01-03,CH_03,RT_02,188.61,37.72,150.89,Checked-Out
BK_00118,2025-01-01,2025-01-02,2025-01-03,CH_01,RT_02,139.94,4.2,135.74,Checked-Out
BK_00119,2025-01-01,2025-01-02,2025-01-04,CH_04,RT_01,341.12,57.99,283.13,Checked-Out
BK_00120,2025-01-01,2025-01-02,2025-01-07,CH_04,RT_03,833.4,141.68,691.72,Checked-Out
BK_00121,2025-01-01,2025-01-02,2025-01-04,CH_06,RT_04,183.92,0.0,183.92,Checked-Out
BK_00122,2025-01-01,2025-01-02,2025-01-04,CH_04,RT_01,270.52,45.99,224.53,Confirmed
BK_00123,2025-01-01,2025-01-02,2025-01-03,CH_01,RT_06,135.08,0.0,135.08,Checked-Out
BK_00124,2025-01-01,2025-01-02,2025-01-05,CH_04,RT_02,458.88,78.01,380.87,Checked-Out
BK_00125,2025-01-01,2025-01-02,2025-01-07,CH_07,RT_01,1034.05,124.09,909.96,Checked-Out
BK_00126,2025-01-01,2025-01-02,2025-01-05,CH_02,RT_02,423.81,76.29,347.52,Checked-Out
BK_00127,2025-01-01,2025-01-02,2025-01-06,CH_02,RT_02,525.96,94.67,431.29,Checked-Out
BK_00128,2025-01-01,2025-01-02,2025-01-06,CH_06,RT_04,436.96,0.0,436.96,Confirmed
BK_00129,2025-01-01,2025-01-02,2025-01-05,CH_04,RT_03,316.71,53.84,262.87,Confirmed
BK_00130,2025-01-01,2025-01-02,2025-01-04,CH_02,RT_01,371.46,66.86,304.6,Checked-Out
BK_00131,2025-01-01,2025-01-02,2025-01-03,CH_03,RT_01,165.36,33.07,132.29,Checked-Out
BK_00132,2025-01-01,2025-01-02,2025-01-05,CH_06,RT_04,291.09,0.0,291.09,Checked-Out
BK_00133,2025-01-01,2025-01-02,2025-01-03,CH_05,RT_01,136.93,0.0,136.93,Checked-Out
BK_00134,2025-01-01,2025-01-02,2025-01-05,CH_03,RT_02,441.96,88.39,353.57,Confirmed
BK_00135,2025-01-01,2025-01-02,2025-01-04,CH_01,RT_02,379.56,11.39,368.17,Checked-Out
BK_00136,2025-01-01,2025-01-02,2025-01-03,CH_03,RT_02,120.77,24.15,96.62,Checked-Out
BK_00137,2025-01-01,2025-01-02,2025-01-06,CH_06,RT_04,354.72,0.0,354.72,Checked-Out
BK_00138,2025-01-01,2025-01-02,2025-01-06,CH_02,RT_01,761.48,137.07,624.41,Checked-Out
BK_00139,2025-01-01,2025-01-02,2025-01-03,CH_06,RT_04,81.27,0.0,81.27,Checked-Out
BK_00140,2025-01-01,2025-01-02,2025-01-07,CH_04,RT_02,954.75,162.31,792.44,Checked-Out
BK_00141,2025-01-01,2025-01-02,2025-01-04,CH_07,RT_04,208.08,0.0,208.08,Checked-Out
BK_00142,2025-01-01,2025-01-03,2025-01-04,CH_04,RT_02,159.58,27.13,132.45,Checked-Out
BK_00143,2025-01-02,2025-01-03,2025-01-04,CH_06,RT_04,82.29,0.0,82.29,Checked-Out
BK_00144,2025-01-02,2025-01-03,2025-01-08,CH_02,RT_03,785.1,141.32,643.78,Checked-Out
BK_00145,2025-01-01,2025-01-03,2025-01-04,CH_02,RT_01,195.92,35.27,160.65,Checked-Out
BK_00146,2025-01-01,2025-01-03,2025-01-05,CH_04,RT_02,376.22,63.96,312.26,Confirmed
BK_00147,2025-01-01,2025-01-03,2025-01-08,CH_04,RT_01,634.15,107.81,526.34,Checked-Out
BK_00148,2025-01-02,2025-01-03,2025-01-07,CH_04,RT_01,509.68,86.65,423.03,Checked-Out
BK_00149,2025-01-02,2025-01-03,2025-01-04,CH_06,RT_04,82.3,0.0,82.3,Confirmed
BK_00150,2025-01-02,2025-01-03,2025-01-06,CH_03,RT_02,526.29,105.26,421.03,Confirmed
BK_00151,2025-01-01,2025-01-03,2025-01-05,CH_06,RT_04,199.12,0.0,199.12,Checked-Out
BK_00152,2025-01-01,2025-01-03,2025-01-05,CH_07,RT_01,260.7,31.28,229.42,Confirmed
BK_00153,2025-01-01,2025-01-03,2025-01-10,CH_01,RT_02,995.54,29.87,965.67,Checked-Out
BK_00154,2025-01-01,2025-01-03,2025-01-10,CH_03,RT_02,1094.73,218.95,875.78,Confirmed
BK_00155,2025-01-02,2025-01-03,2025-01-05,CH_02,RT_02,397.84,71.61,326.23,Checked-Out
BK_00156,2025-01-02,2025-01-03,2025-01-05,CH_03,RT_01,290.4,58.08,232.32,Confirmed
BK_00157,2025-01-01,2025-01-03,2025-01-05,CH_04,RT_01,0.0,0.0,0.0,Cancelled
BK_00158,2025-01-01,2025-01-03,2025-01-04,CH_04,RT_01,175.89,29.9,145.99,Checked-Out
BK_00159,2025-01-01,2025-01-03,2025-01-07,CH_04,RT_03,618.24,105.1,513.14,Checked-Out
BK_00160,2025-01-01,2025-01-03,2025-01-05,CH_01,RT_06,285.88,0.0,285.88,Checked-Out
BK_00161,2025-01-02,2025-01-03,2025-01-04,CH_07,RT_04,82.31,0.0,82.31,Confirmed
BK_00162,2025-01-02,2025-01-03,2025-01-05,CH_03,RT_03,276.5,55.3,221.2,Confirmed
BK_00163,2025-01-02,2025-01-03,2025-01-06,CH_02,RT_01,567.84,102.21,465.63,Checked-Out
BK_00164,2025-01-01,2025-01-03,2025-01-06,CH_01,RT_06,568.74,0.0,568.74,Checked-Out
BK_00165,2025-01-02,2025-01-03,2025-01-06,CH_05,RT_01,628.8,0.0,628.8,Checked-Out
BK_00166,2025-01-01,2025-01-03,2025-01-05,CH_06,RT_04,188.14,0.0,188.14,Confirmed
BK_00167,2025-01-01,2025-01-03,2025-01-06,CH_04,RT_02,590.82,100.44,490.38,Confirmed
BK_00168,2025-01-01,2025-01-03,2025-01-09,CH_06,RT_04,624.24,0.0,624.24,Checked-Out
BK_00169,2025-01-02,2025-01-03,2025-01-04,CH_03,RT_01,213.43,42.69,170.74,Checked-Out
BK_00170,2025-01-02,2025-01-03,2025-01-04,CH_06,RT_04,88.18,0.0,88.18,Confirmed
BK_00171,2025-01-02,2025-01-03,2025-01-07,CH_01,RT_01,811.08,24.33,786.75,Confirmed
BK_00172,2025-01-02,2025-01-03,2025-01-05,CH_03,RT_01,317.24,63.45,253.79,Checked-Out
BK_00173,2025-01-01,2025-01-03,2025-01-04,CH_07,RT_01,199.14,23.9,175.24,Checked-Out
BK_00174,2025-01-02,2025-01-03,2025-01-08,CH_03,RT_03,812.55,162.51,650.04,Checked-Out
BK_00175,2025-01-01,2025-01-03,2025-01-04,CH_02,RT_01,214.02,38.52,175.5,Checked-Out
BK_00176,2025-01-01,2025-01-03,2025-01-04,CH_02,RT_01,124.77,22.46,102.31,Checked-Out
BK_00177,2025-01-02,2025-01-03,2025-01-04,CH_06,RT_04,94.99,0.0,94.99,Checked-Out
BK_00178,2025-01-02,2025-01-03,2025-01-06,CH_02,RT_01,465.84,83.85,381.99,Checked-Out
BK_00179,2025-01-02,2025-01-03,2025-01-06,CH_01,RT_06,397.08,0.0,397.08,Checked-Out
BK_00180,2025-01-02,2025-01-03,2025-01-05,CH_03,RT_02,436.2,87.24,348.96,Checked-Out
BK_00181,2025-01-01,2025-01-03,2025-01-05,CH_01,RT_01,389.8,11.69,378.11,Checked-Out
BK_00182,2025-01-01,2025-01-03,2025-01-04,CH_02,RT_01,184.28,33.17,151.11,Confirmed
BK_00183,2025-01-01,2025-01-03,2025-01-10,CH_03,RT_01,934.43,186.89,747.54,Checked-Out
BK_00184,2025-01-01,2025-01-03,2025-01-04,CH_02,RT_03,177.85,32.01,145.84,Checked-Out
BK_00185,2025-01-01,2025-01-03,2025-01-10,CH_03,RT_01,1367.31,273.46,1093.85,Checked-Out
BK_00186,2025-01-01,2025-01-03,2025-01-08,CH_01,RT_02,786.0,23.58,762.42,Checked-Out
BK_00187,2025-01-02,2025-01-03,2025-01-05,CH_03,RT_02,431.3,86.26,345.04,Checked-Out
BK_00188,2025-01-01,2025-01-03,2025-01-05,CH_03,RT_05,343.86,68.77,275.09,Confirmed
BK_00189,2025-01-01,2025-01-03,2025-01-04,CH_04,RT_03,148.68,25.28,123.4,Checked-Out
BK_00190,2025-01-02,2025-01-03,2025-01-05,CH_04,RT_02,377.96,64.25,313.71,Checked-Out
BK_00191,2025-01-02,2025-01-03,2025-01-06,CH_07,RT_01,0.0,0.0,0.0,Cancelled
BK_00192,2025-01-02,2025-01-04,2025-01-06,CH_04,RT_03,378.28,64.31,313.97,Checked-Out
BK_00193,2025-01-01,2025-01-04,2025-01-05,CH_01,RT_02,160.43,4.81,155.62,Checked-Out
BK_00194,2025-01-03,2025-01-04,2025-01-05,CH_02,RT_02,157.1,28.28,128.82,Checked-Out
BK_00195,2025-01-03,2025-01-04,2025-01-07,CH_03,RT_01,554.88,110.98,443.9,Checked-Out
BK_00196,2025-01-02,2025-01-04,2025-01-05,CH_02,RT_02,211.35,38.04,173.31,Checked-Out
BK_00197,2025-01-03,2025-01-04,2025-01-07,CH_02,RT_02,0.0,0.0,0.0,Cancelled
BK_00198,2025-01-02,2025-01-04,2025-01-05,CH_05,RT_01,176.75,0.0,176.75,Confirmed
BK_00199,2025-01-01,2025-01-04,2025-01-11,CH_04,RT_05,1530.62,260.21,1270.41,Checked-Out
BK_00200,2025-01-01,2025-01-04,2025-01-05,CH_03,RT_05,205.14,41.03,164.11,Checked-Out
BK_00201,2025-01-03,2025-01-04,2025-01-07,CH_04,RT_02,396.42,67.39,329.03,Checked-Out
BK_00202,2025-01-01,2025-01-04,2025-01-05,CH_03,RT_01,177.23,35.45,141.78,Checked-Out
BK_00203,2025-01-01,2025-01-04,2025-01-05,CH_05,RT_01,138.51,0.0,138.51,Checked-Out
BK_00204,2025-01-01,2025-01-04,2025-01-07,CH_03,RT_03,0.0,0.0,0.0,Cancelled
BK_00205,2025-01-01,2025-01-04,2025-01-05,CH_03,RT_02,132.83,26.57,106.26,Confirmed
BK_00206,2025-01-03,2025-01-04,2025-01-07,CH_02,RT_05,489.78,88.16,401.62,Confirmed
BK_00207,2025-01-03,2025-01-04,2025-01-08,CH_03,RT_01,0.0,0.0,0.0,Cancelled
BK_00208,2025-01-01,2025-01-04,2025-01-06,CH_07,RT_01,409.18,49.1,360.08,Checked-Out
BK_00209,2025-01-01,2025-01-04,2025-01-10,CH_02,RT_02,1088.64,195.96,892.68,Checked-Out
BK_00210,2025-01-01,2025-01-04,2025-01-05,CH_07,RT_04,85.14,0.0,85.14,Checked-Out
BK_00211,2025-01-03,2025-01-04,2025-01-06,CH_06,RT_04,162.48,0.0,162.48,Confirmed
BK_00212,2025-01-02,2025-01-04,2025-01-05,CH_04,RT_02,185.11,31.47,153.64,Confirmed
BK_00213,2025-01-02,2025-01-04,2025-01-07,CH_01,RT_02,531.84,15.96,515.88,Checked-Out
BK_00214,2025-01-02,2025-01-04,2025-01-06,CH_04,RT_03,266.26,45.26,221.0,Checked-Out
BK_00215,2025-01-02,2025-01-04,2025-01-06,CH_03,RT_01,268.74,53.75,214.99,Confirmed
BK_00216,2025-01-02,2025-01-04,2025-01-08,CH_05,RT_01,914.24,0.0,914.24,Checked-Out
BK_00217,2025-01-03,2025-01-04,2025-01-06,CH_01,RT_01,339.7,10.19,329.51,Checked-Out
BK_00218,2025-01-03,2025-01-04,2025-01-05,CH_01,RT_06,207.23,0.0,207.23,Checked-Out
BK_00219,2025-01-03,2025-01-04,2025-01-08,CH_06,RT_04,406.52,0.0,406.52,Checked-Out
BK_00220,2025-01-02,2025-01-04,2025-01-06,CH_03,RT_02,301.7,60.34,241.36,Checked-Out
BK_00221,2025-01-02,2025-01-04,2025-01-06,CH_07,RT_04,195.0,0.0,195.0,Checked-Out
BK_00222,2025-01-01,2025-01-04,2025-01-06,CH_05,RT_01,393.54,0.0,393.54,Checked-Out
BK_00223,2025-01-02,2025-01-04,2025-01-05,CH_01,RT_01,208.95,6.27,202.68,Checked-Out
BK_00224,2025-01-03,2025-01-04,2025-01-06,CH_02,RT_02,278.94,50.21,228.73,Checked-Out
BK_00225,2025-01-01,2025-01-04,2025-01-06,CH_03,RT_02,405.06,81.01,324.05,Checked-Out
BK_00226,2025-01-01,2025-01-04,2025-01-05,CH_07,RT_01,0.0,0.0,0.0,Cancelled
BK_00227,2025-01-03,2025-01-04,2025-01-10,CH_04,RT_01,1025.46,174.33,851.13,Checked-Out
BK_00228,2025-01-03,2025-01-04,2025-01-05,CH_04,RT_03,150.9,25.65,125.25,Confirmed
BK_00229,2025-01-02,2025-01-04,2025-01-06,CH_03,RT_01,438.12,87.62,350.5,Checked-Out
BK_00230,2025-01-02,2025-01-04,2025-01-07,CH_03,RT_02,506.94,101.39,405.55,Checked-Out
BK_00231,2025-01-01,2025-01-04,2025-01-08,CH_02,RT_03,708.4,127.51,580.89,Confirmed
BK_00232,2025-01-01,2025-01-04,2025-01-09,CH_03,RT_02,732.75,146.55,586.2,Checked-Out
BK_00233,2025-01-01,2025-01-04,2025-01-07,CH_04,RT_02,411.15,69.9,341.25,Checked-Out
BK_00234,2025-01-03,2025-01-04,2025-01-08,CH_02,RT_03,469.64,84.54,385.1,Checked-Out
BK_00235,2025-01-01,2025-01-04,2025-01-05,CH_02,RT_01,189.05,34.03,155.02,Checked-Out
BK_00236,2025-01-03,2025-01-04,2025-01-10,CH_05,RT_01,1229.1,0.0,1229.1,Checked-Out
BK_00237,2025-01-03,2025-01-04,2025-01-06,CH_03,RT_05,335.68,67.14,268.54,Checked-Out
BK_00238,2025-01-02,2025-01-05,2025-01-07,CH_04,RT_05,376.14,63.94,312.2,Confirmed
BK_00239,2025-01-02,2025-01-05,2025-01-08,CH_02,RT_01,527.43,94.94,432.49,Checked-Out
BK_00240,2025-01-02,2025-01-05,2025-01-09,CH_04,RT_03,559.4,95.1,464.3,Checked-Out
BK_00241,2025-01-02,2025-01-05,2025-01-06,CH_03,RT_02,209.58,41.92,167.66,Checked-Out
BK_00242,2025-01-02,2025-01-05,2025-01-11,CH_04,RT_01,892.56,151.74,740.82,Checked-Out
BK_00243,2025-01-02,2025-01-05,2025-01-11,CH_04,RT_03,658.2,111.89,546.31,Checked-Out
BK_00244,2025-01-03,2025-01-05,2025-01-06,CH_03,RT_02,144.25,28.85,115.4,Checked-Out
BK_00245,2025-01-03,2025-01-05,2025-01-08,CH_01,RT_06,471.15,0.0,471.15,Checked-Out
BK_00246,2025-01-01,2025-01-05,2025-01-06,CH_03,RT_05,0.0,0.0,0.0,Cancelled
BK_00247,2025-01-04,2025-01-05,2025-01-07,CH_02,RT_05,304.24,54.76,249.48,Checked-Out
BK_00248,2025-01-01,2025-01-05,2025-01-08,CH_02,RT_03,550.14,99.03,451.11,Confirmed
